iter	Passed	Remaining
0	0	68
1	1	63
2	1	60
3	2	60
4	3	60
5	3	57
6	4	55
7	4	53
8	5	52
9	5	51
10	6	50
11	6	49
12	7	48
13	7	47
14	8	46
15	8	46
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	12	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	22	31
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	7
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
